EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,SALARY,DEPARTMENT_NAME,STREET_ADDRESS,"CITY,STATE_PROVINCE"
100,Steven,King,SKING,24000,Executive,2004 Charade Rd,Seattle,Washington
101,Neena,Kochhar,NKOCHHAR,17000,Executive,2004 Charade Rd,Seattle,Washington
103,Alexander,Hunold,AHUNOLD,9000,IT,2014 Jabberwocky Rd,Southlake,Texas
104,Bruce,Ernst,BERNST,6000,IT,2014 Jabberwocky Rd,Southlake,Texas
105,David,Austin,DAUSTIN,4800,IT,2014 Jabberwocky Rd,Southlake,Texas
106,Valli,Pataballa,VPATABAL,4800,IT,2014 Jabberwocky Rd,Southlake,Texas
107,Diana,Lorentz,DLORENTZ,4200,IT,2014 Jabberwocky Rd,Southlake,Texas
108,Nancy,Greenberg,NGREENBE,12008,Finance,2004 Charade Rd,Seattle,Washington
109,Daniel,Faviet,DFAVIET,9000,Finance,2004 Charade Rd,Seattle,Washington
110,John,Chen,JCHEN,8200,Finance,2004 Charade Rd,Seattle,Washington
111,Ismael,Sciarra,ISCIARRA,7700,Finance,2004 Charade Rd,Seattle,Washington
112,Jose Manuel,Urman,JMURMAN,7800,Finance,2004 Charade Rd,Seattle,Washington
113,Luis,Popp,LPOPP,6900,Finance,2004 Charade Rd,Seattle,Washington
114,Den,Raphaely,DRAPHEAL,11000,Purchasing,2004 Charade Rd,Seattle,Washington
115,Alexander,Khoo,AKHOO,3100,Purchasing,2004 Charade Rd,Seattle,Washington
116,Shelli,Baida,SBAIDA,2900,Purchasing,2004 Charade Rd,Seattle,Washington
117,Sigal,Tobias,STOBIAS,2800,Purchasing,2004 Charade Rd,Seattle,Washington
118,Guy,Himuro,GHIMURO,2600,Purchasing,2004 Charade Rd,Seattle,Washington
119,Karen,Colmenares,KCOLMENA,2500,Purchasing,2004 Charade Rd,Seattle,Washington
120,Matthew,Weiss,MWEISS,8000,Shipping,2011 Interiors Blvd,South San Francisco,California
121,Adam,Fripp,AFRIPP,8200,Shipping,2011 Interiors Blvd,South San Francisco,California
122,Payam,Kaufling,PKAUFLIN,7900,Shipping,2011 Interiors Blvd,South San Francisco,California
123,Shanta,Vollman,SVOLLMAN,6500,Shipping,2011 Interiors Blvd,South San Francisco,California
124,Kevin,Mourgos,KMOURGOS,5800,Shipping,2011 Interiors Blvd,South San Francisco,California
125,Julia,Nayer,JNAYER,3200,Shipping,2011 Interiors Blvd,South San Francisco,California
126,Irene,Mikkilineni,IMIKKILI,2700,Shipping,2011 Interiors Blvd,South San Francisco,California
127,James,Landry,JLANDRY,2400,Shipping,2011 Interiors Blvd,South San Francisco,California
128,Steven,Markle,SMARKLE,2200,Shipping,2011 Interiors Blvd,South San Francisco,California
129,Laura,Bissot,LBISSOT,3300,Shipping,2011 Interiors Blvd,South San Francisco,California
130,Mozhe,Atkinson,MATKINSO,2800,Shipping,2011 Interiors Blvd,South San Francisco,California
131,James,Marlow,JAMRLOW,2500,Shipping,2011 Interiors Blvd,South San Francisco,California
132,TJ,Olson,TJOLSON,2100,Shipping,2011 Interiors Blvd,South San Francisco,California
133,Jason,Mallin,JMALLIN,3300,Shipping,2011 Interiors Blvd,South San Francisco,California
134,Michael,Rogers,MROGERS,2900,Shipping,2011 Interiors Blvd,South San Francisco,California
135,Ki,Gee,KGEE,2400,Shipping,2011 Interiors Blvd,South San Francisco,California
136,Hazel,Philtanker,HPHILTAN,2200,Shipping,2011 Interiors Blvd,South San Francisco,California
137,Renske,Ladwig,RLADWIG,3600,Shipping,2011 Interiors Blvd,South San Francisco,California
138,Stephen,Stiles,SSTILES,3200,Shipping,2011 Interiors Blvd,South San Francisco,California
139,John,Seo,JSEO,2700,Shipping,2011 Interiors Blvd,South San Francisco,California
140,Joshua,Patel,JPATEL,2500,Shipping,2011 Interiors Blvd,South San Francisco,California
141,Trenna,Rajs,TRAJS,3500,Shipping,2011 Interiors Blvd,South San Francisco,California
142,Curtis,Davies,CDAVIES,3100,Shipping,2011 Interiors Blvd,South San Francisco,California
143,Randall,Matos,RMATOS,2600,Shipping,2011 Interiors Blvd,South San Francisco,California
144,Peter,Vargas,PVARGAS,2500,Shipping,2011 Interiors Blvd,South San Francisco,California
145,John,Russell,JRUSSEL,14000,80,2500, The Oxford Science Park,OX9 9ZB
146,Karen,Partners,KPARTNER,13500,80,2500, The Oxford Science Park,OX9 9ZB
147,Alberto,Errazuriz,AERRAZUR,12000,80,2500, The Oxford Science Park,OX9 9ZB
148,Gerald,Cambrault,GCAMBRAU,11000,80,2500, The Oxford Science Park,OX9 9ZB
149,Eleni,Zlotkey,EZLOTKEY,10500,80,2500, The Oxford Science Park,OX9 9ZB
150,Peter,Tucker,PTUCKER,10000,80,2500, The Oxford Science Park,OX9 9ZB
151,David,Bernstein,DBERNSTE,9500,80,2500, The Oxford Science Park,OX9 9ZB
152,Peter,Hall,PHALL,9000,80,2500, The Oxford Science Park,OX9 9ZB
153,Christopher,Olsen,COLSEN,8000,80,2500, The Oxford Science Park,OX9 9ZB
154,Nanette,Cambrault,NCAMBRAU,7500,80,2500, The Oxford Science Park,OX9 9ZB
155,Oliver,Tuvault,OTUVAULT,7000,80,2500, The Oxford Science Park,OX9 9ZB
156,Janette,King,JKING,10000,80,2500, The Oxford Science Park,OX9 9ZB
157,Patrick,Sully,PSULLY,9500,80,2500, The Oxford Science Park,OX9 9ZB
158,Allan,McEwen,AMCEWEN,9000,80,2500, The Oxford Science Park,OX9 9ZB
159,Lindsey,Smith,LSMITH,8000,80,2500, The Oxford Science Park,OX9 9ZB
160,Louise,Doran,LDORAN,7500,80,2500, The Oxford Science Park,OX9 9ZB
161,Sarath,Sewall,SSEWALL,7000,80,2500, The Oxford Science Park,OX9 9ZB
162,Clara,Vishney,CVISHNEY,10500,80,2500, The Oxford Science Park,OX9 9ZB
163,Danielle,Greene,DGREENE,9500,80,2500, The Oxford Science Park,OX9 9ZB
164,Mattea,Marvins,MMARVINS,7200,80,2500, The Oxford Science Park,OX9 9ZB
165,David,Lee,DLEE,6800,80,2500, The Oxford Science Park,OX9 9ZB
166,Sundar,Ande,SANDE,6400,80,2500, The Oxford Science Park,OX9 9ZB
167,Amit,Banda,ABANDA,6200,80,2500, The Oxford Science Park,OX9 9ZB
168,Lisa,Ozer,LOZER,11500,80,2500, The Oxford Science Park,OX9 9ZB
169,Harrison,Bloom,HBLOOM,10000,80,2500, The Oxford Science Park,OX9 9ZB
170,Tayler,Fox,TFOX,9600,80,2500, The Oxford Science Park,OX9 9ZB
171,William,Smith,WSMITH,7400,80,2500, The Oxford Science Park,OX9 9ZB
172,Elizabeth,Bates,EBATES,7300,80,2500, The Oxford Science Park,OX9 9ZB
173,Sundita,Kumar,SKUMAR,6100,80,2500, The Oxford Science Park,OX9 9ZB
174,Ellen,Abel,EABEL,11000,80,2500, The Oxford Science Park,OX9 9ZB
175,Alyssa,Hutton,AHUTTON,8800,80,2500, The Oxford Science Park,OX9 9ZB
176,Jonathon,Taylor,JTAYLOR,8600,80,2500, The Oxford Science Park,OX9 9ZB
177,Jack,Livingston,JLIVINGS,8400,80,2500, The Oxford Science Park,OX9 9ZB
179,Charles,Johnson,CJOHNSON,6200,80,2500, The Oxford Science Park,OX9 9ZB
180,Winston,Taylor,WTAYLOR,3200,Shipping,2011 Interiors Blvd,South San Francisco,California
181,Jean,Fleaur,JFLEAUR,3100,Shipping,2011 Interiors Blvd,South San Francisco,California
182,Martha,Sullivan,MSULLIVA,2500,Shipping,2011 Interiors Blvd,South San Francisco,California
183,Girard,Geoni,GGEONI,2800,Shipping,2011 Interiors Blvd,South San Francisco,California
184,Nandita,Sarchand,NSARCHAN,4200,Shipping,2011 Interiors Blvd,South San Francisco,California
185,Alexis,Bull,ABULL,4100,Shipping,2011 Interiors Blvd,South San Francisco,California
186,Julia,Dellinger,JDELLING,3400,Shipping,2011 Interiors Blvd,South San Francisco,California
187,Anthony,Cabrio,ACABRIO,3000,Shipping,2011 Interiors Blvd,South San Francisco,California
188,Kelly,Chung,KCHUNG,3800,Shipping,2011 Interiors Blvd,South San Francisco,California
189,Jennifer,Dilly,JDILLY,3600,Shipping,2011 Interiors Blvd,South San Francisco,California
190,Timothy,Gates,TGATES,2900,Shipping,2011 Interiors Blvd,South San Francisco,California
191,Randall,Perkins,RPERKINS,2500,Shipping,2011 Interiors Blvd,South San Francisco,California
192,Sarah,Bell,SBELL,4000,Shipping,2011 Interiors Blvd,South San Francisco,California
193,Britney,Everett,BEVERETT,3900,Shipping,2011 Interiors Blvd,South San Francisco,California
194,Samuel,McCain,SMCCAIN,3200,Shipping,2011 Interiors Blvd,South San Francisco,California
195,Vance,Jones,VJONES,2800,Shipping,2011 Interiors Blvd,South San Francisco,California
196,Alana,Walsh,AWALSH,3100,Shipping,2011 Interiors Blvd,South San Francisco,California
197,Kevin,Feeney,KFEENEY,3000,Shipping,2011 Interiors Blvd,South San Francisco,California
198,Donald,OConnell,DOCONNEL,2600,Shipping,2011 Interiors Blvd,South San Francisco,California
199,Douglas,Grant,DGRANT,2600,Shipping,2011 Interiors Blvd,South San Francisco,California
200,Jennifer,González,JWHALEN,4400,Administration,2004 Charade Rd,Seattle,Washington
201,Michael,Hartstein,MHARTSTE,13000,Marketing,147 Spadina Ave,Toronto,Ontario
202,Pat,Fay,PFAY,6000,Marketing,147 Spadina Ave,Toronto,Ontario
203,Susan,Mavris,SMAVRIS,6500,Human Resources,8204 Arthur St,London,
204,Hermann,Baer,HBAER,10000,Public Relations,Schwanthalerstr. 7031,Munich,Bavaria
205,Shelley,Higgins,SHIGGINS,12008,Accounting,2004 Charade Rd,Seattle,Washington
206,William,Gietz,WGIETZ,8300,Accounting,2004 Charade Rd,Seattle,Washington
207,Franco,Alarcon,fralarcon,2000,Finance,charade 21,seattle,chicago
